SITE_NAME_CLEANED,PERIOD_EUR
0395BR,32.56%
0395KO,7.24%
0396BR,8.14%
0396KO,8.54%
0397BB,20.05%
0397BR,3.98%
0397KO,127.42%
0398BB,28.91%
0398KO,115.03%
0399BB,8.44%
0399BR,0.05%
0399KO,11.29%
0400BB,13.88%
0400BR,10.97%
0400KO,38.25%
0401BB,20.88%
0401BR,42.19%
0401KO,7.74%
0402BB,27.69%
0402BR,68.12%
0402KO,10.96%
0403BB,52.03%
0403BR,22.95%
0403KO,10.25%
0404BB,68.52%
0404KO,11.83%
0405BB,17.77%
0405BR,43.38%
0405KO,36.34%
0406BB,71.41%
0406BR,51.2%
0406KO,18.6%
0407BB,65.04%
0407BR,37.29%
0407KO,40.47%
0408BB,150.01%
0408BR,25.06%
0408KO,9.82%
0409BB,16.18%
0409BR,21.02%
0409KO,141.99%
0410BB,9.45%
0410BR,29.63%
0410KO,36.93%
0411BB,20.03%
0411BR,25.47%
0411KO,81.59%
0412BB,3.33%
0412BR,33.04%
0412KO,19.95%
0413BB,11.64%
0413BR,2.76%
0413KO,9.79%
0414BB,153.26%
0414BR,35.79%
0414KO,13.54%
0415BB,23.25%
0415BR,20.27%
0416BB,122.34%
0416BR,13.89%
0416KO,40.47%
0417BB,13.38%
0417BR,10.22%
0417KO,5.83%
0418BB,15.67%
0418BR,7.77%
0418KO,16.72%
0419BB,30.8%
0419BR,11.65%
0419KO,19.01%
0420BR,80.0%
0420KO,11.72%
0421BB,17.69%
0421KO,16.52%
0422BB,53.89%
0422BR,15.59%
0422KO,14.88%
0423BB,55.51%
0423BR,11.18%
0423KO,18.42%
0424BB,13.64%
0424KO,35.85%
0425BB,8.77%
0425BR,37.86%
0425KO,9.16%
0426BB,24.32%
0426BR,15.01%
0426KO,22.43%
0427BB,30.18%
0427BR,11.74%
0427KO,139.46%
0428BB,3.27%
0428BR,12.55%
0428KO,9.66%
0429BB,12.7%
0429BR,41.44%
0429KO,8.82%
0430BB,12.6%
0430KO,100.74%
0431BB,13.84%
0431BR,46.27%
0431KO,32.3%
0432BB,15.42%
0432BR,8.01%
0432KO,6.55%
0433BB,12.96%
0433BR,9.57%
0433KO,23.49%
0434BB,12.71%
0434BR,47.96%
0434KO,9.02%
0435BB,10.6%
0435BR,44.63%
0435KO,3.62%
0436BB,137.28%
0436BR,26.84%
0436KO,11.65%
0437BB,8.06%
0437BR,8.57%
0437KO,13.29%
0438BB,5.46%
0438BR,62.44%
0438KO,12.29%
0439BB,7.62%
0439BR,81.97%
0439KO,15.78%
0440BB,11.2%
0440BR,17.36%
0440KO,11.39%
0441BB,22.19%
0441BR,8.79%
0441KO,9.65%
0442BB,24.05%
0442BR,9.94%
0442KO,12.98%
0443BB,29.19%
0443BR,51.45%
0443KO,16.37%
0444BB,2.33%
0444BR,17.9%
0444KO,7.35%
0445BB,6.39%
0445BR,41.55%
0445KO,23.37%
0446BB,12.59%
0446BR,71.04%
0446KO,54.08%
0447BB,16.64%
0447BR,0.7%
0447KO,10.55%
0448BB,15.32%
0448BR,39.02%
0448KO,10.64%
0449BB,23.95%
0449BR,5.16%
0449KO,11.19%
0450BB,23.52%
0450BR,13.31%
0450KO,8.63%
0451BB,15.69%
0451KO,11.28%
0452BB,14.18%
0452KO,16.11%
0453BB,14.24%
0453BR,28.7%
0453KO,61.23%
0454BB,11.61%
0454BR,12.39%
0454KO,11.08%
0455BB,16.7%
0455KO,5.48%
0456BB,29.43%
0456BR,13.13%
0456KO,21.86%
0457BB,19.13%
0457BR,36.81%
0457KO,7.97%
0458BB,19.98%
0458BR,5.5%
0458KO,77.74%
